URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Model,Details_Type,Details_Single/Redundant,Details_Maximum Power,Details_Main ConnectorMain Connector,Details_Output Current,Details_FansFans,Details_Protection,Features_Features,Dimensions & Weight_Dimensions,Additional Information_Date First Available,Details_Rack Units,Details_Color,Details_Output,Details_MTBFMTBF,Details_EfficiencyEfficiency,Details_Material,Details_Specification,Dimension & Weight_Unit Dimension,Dimension & Weight_Unit Weight,General_Brand,General_Series,General_Model,General_Part Number,Details_Maximum PowerMaximum Power,Details_Max PSU Length,Details_ModularModular,Details_Energy-Efficient,Details_Input Voltage,Details_Input Frequency Range,Details_Input Current,Details_Connectors,Dimension & Weight_Dimensions,Dimension & Weight_Weight,Package_Package Content,Details_Fans,Details_Modular,Details_PFCPFC,Details_+12V Rails+12V Rails,Details_SATA Power ConnectorSATA Power Connector,Details_Hold-up Time,Dimensions & Weight_Weight,Environmental_Humidity,Environmental_Temperature,Packaging_Package Contents,Model_Series,Details_PCI-Express ConnectorPCI-Express Connector,Details_Cable Spec,Details_Main Connector,Details_MTBF,Details_Efficiency,Details_SLISLI,Details_CrossFireCrossFire,Details_Over Voltage ProtectionOver Voltage Protection,Details_Overload ProtectionOverload Protection,Feature_Features,Details_PSU Noise LevelPSU Noise Level
https://www.newegg.com/rosewill-atx-3-0-compatible-atx-3-1-compatible-1000-w-80-plus-gold-certified-power-supplies-cmg1000g5/p/N82E16817182453,119,PSU,,,,ATX 3.0 Compatible / ATX 3.1 Compatible,,,20+4Pin,,1 x Silent 120mm FDB fan,,,,"April 26, 2023",,,"+3.3V@25A, +5V@25A, +12V@83.3A, -12V@0.3A, +5VSB@3A",,Up to 92%,,,,,Rosewill,CMG,CMG1000G5,,1000 W,140 mm,Full Modular,80 PLUS GOLD Certified,,,,1 x 20+4-Pin Main Connector 2 x 4+4-Pin ATX12V / EPS12V Connector 4 x 6+2-Pin PCI-E Connector 1 x 12+4-Pin 12VHPWR Connector 8 x 15-Pin SATA Connector 4 x 4-Pin Peripheral Connector,,,,,,Active,Single,8,16ms min.,,,,,,4 x 6+2-Pin & 1x 12+4-Pin,,,,,SLI Ready,CrossFire Ready,Yes,Yes,"Newest PCIe 5.0 and ATX 3.0 Compatible 12+4-Pin 12VHPWR Connector 80 PLUS GOLD Certified Compact 140mm size 1000 Watts Max Power Single strong 12V rail - ideal for Gaming system 1 x Silent 120mm FDB Fan Active-PFC with auto AC-input voltage adjustment (100 - 240V) Over Temperature Protection / Over Current Protection / Over Voltage Protection / Power Protection, Under Voltage Protection, and Short Circuit Protection provide maximum safety to your critical system components Safety & EMI Approval: cTUVus, FCC",
https://www.newegg.com/p/2AN-001M-005U6,76,PSU,,DELL,,,,,,,,,,,"July 24, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/athena-power-ap-rrp4atx6808-800w/p/N82E16817338062,"1,030",PSU,#56 in Server Power Supplies,Athena Power,AP-RRP4ATX6808,,Redundant,800W,20+4Pin,"+5V@24A, +12V x 4@16.5A, +3.3V@24A, -5V@0A, -12V@0.8A, +5V-SB@4A",,,Dielectric Withstand: Primary Frame Ground 1800V AC for 1 Second Rise time: 50ms maximum,"5.9"" x 3.4"" x 8.9""","September 30, 2022",,,,"100,000 Hours on Maximum Load at +25°C",,,,,,,,,,,,,,88 -264 Volts Ac,47 - 63 Hz,,,,,,,,,,,20ms Minimum at Nominal Input Voltage,9.0 lbs.,"90% on Operating, 95% on Storage",Operating +5° C ~ +40° C on 250W Output Load or -10° C ~ +50° C on 220W Output Load,,,,,,,,,,,,,
https://www.newegg.com/hp-865414-b21-consumer-electronics/p/181-0083-001F0,139,PSU,#9 in Server Power Supplies,,,Consumer Electronics,,,,,,,,,"January 22, 2025",,,,,,,,,,HP,,865414-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/tripp-lite-srcablevrt6-cable-manager/p/N82E16816228101,307,PSU,,Tripp Lite,,,,,,,,,,,"October 31, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/athena-power-ap-u1atx30a-300w/p/N82E16817104115,95,PSU,,Athena Power,AP-U1ATX30A,,Single,300W,20+4Pin,"+3.3@10A, +5V@10A, +12V@6A (Min) 15A (Max), -12V@-0A (Min) 0.3A (Max), +5VSB@2.5A",2,"Over voltage,  short circuit and overload protection.","Active PFC (Power Factor Correction) meets EN61000-3-2 Smart Auto Fan Speed Controller 100% Hi-pot, ATE and Burn-in Tested Output Over Voltage, Short Circuit and Overload Protection. Low Noise and Ripple Connectors: ATX 24 (20+4) Pin x 1, P4-12V 4 Pin x 1, SATA 15 Pin x 2, Molex 4 Pin x 2, Floppy 4 Pin x 1","1.55"" x 3.94"" x 7.87""","December 09, 2022",,,,"100,000 Hours on Full Load at +25 degree C",,,,,,,,,,,,,,88 - 264 V,47 - 63 Hz,,,,,,,,,,,17ms Minimum at Nominal Input Voltage,3.00 lbs.,5~90% on Operating; 5~95% on Storage,0 degree C - +50 degree C on Full Load,1 x AP-U1ATX30A 1 x Power Cord,,,,,,,,,,,,
https://www.newegg.com/athena-power-ap-mps3atx80ep8-800w-micro-ps3/p/N82E16817338119,209,PSU,,Athena Power,AP-MPS3ATX80EP8,Micro PS3,,800W,ATX 24 (20+4) Pin x 1 P4-12V 4 Pin x 1 EPS12V 8 Pin x 2 PCIE 6 Pin x 2 PCIE 6+2 Pin x 2 SATA 15 Pin x 8 Molex 4 Pin x 2 Floppy 4 Pin x 1,,80mm Exhaust x 1,,Rise time: Less than 20 ms,"3.30"" x 5.90"" x 4.65"" (H x W x L)","October 20, 2022",,,+3.3V@20A +5V@22A +12V1@32A +12V2@32A -5V@N/A -12V@1.0A +5V-SB@3.5A,"100,000 Hours on Maximum Load at +25 degree C",,,,,,,,,,,,,,88 - 264 V,47 - 63 Hz,,,,,,,,,,,17ms min.,6.50 lbs.,,Operating: 0 degree C ~ +50 degree C on Full Load; Storage & Shipping: -20 degree C ~ +80 degree C,,Hercules Series,,,,,,,,,,,
https://www.newegg.com/msi-atx12v-750-w-80-plus-gold-certified-power-supplies-black-mag-a750gl-pcie5/p/N82E16817701022,99,PSU,#1 in Power Supplies,,,ATX12V,,,,,1 x 120 mm,"OVP,  OCP, OTP, OPP , SCP, UVP",,,"July 20, 2023",,Black,"+3.3V@20A, +5V@20A, +12V@60.2A, -12V@0.3A, +5VSB@2.5A",,,,,,,MSI,,MAG A750GL PCIE5,,750 W,150 mm,Full Modular,80 PLUS GOLD Certified,100 - 240 V,47 - 63 Hz,10A (Max.),1 x MB (24/20 pins) 2 x CPU (8/4 pins) 3 x PCIe (8/6 pins) 1(450W) x 12VHPWR (PCI-E 5.0) 8 x SATA 4 x Molex 1 x Molex to FDD Adapter,"11.81 * 8.66 * 4.92""",,,,,Active,,5,,,,,,,,,,,,,,,,,
https://www.newegg.com/corsair-hxi-series-atx-3-0-compatible-1000-w-80-plus-platinum-certified-power-supply-hx1000i-2023/p/N82E16817139313,259,PSU,#26 in Power Supplies,,,ATX 3.0 Compatible,,,,,1 x 140 mm Fluid Dynamic Bearing Fan,,"Fully modular cabling, so you connect only the cables your system needs. Compliant with the ATX 3.0 power standard from Intel®, supporting the PCIe Gen 5 platform and resisting transient power spikes. A 140mm fluid dynamic bearing (FDB) fan delivers extremely quiet and long-lasting fan performance. Powerful CORSAIR iCUE software enables you to create custom fan curves, monitor power settings, and toggle between single to multi-rail overcurrent protection (OCP) on-the-fly. Zero RPM fan mode for near-silent operation at low to medium loads. 100% Industrial-grade, 105°C rated Japanese electrolytic capacitors ensure unwavering power and reliability. 80 PLUS Platinum certified for up to 92% efficiency, for exceptionally low power consumption, less noise, and cooler temperatures. Supports Modern Standby sleep mode for extremely fast wake-from-sleep times and better low-load efficiency. Fully digital platform with resonant LLC topology and DC-to-DC conversion provides clean, consistent power and minimizes coil whine and noise for quiet operation.",,"June 13, 2023",,,"+3.3V@25A, +5V@25A, +12V@83.3A, -12V@0.3A, +5VSB@3A",,,,,,,CORSAIR,HXi Series,HX1000i 2023,CP-9020259-NA,1000 W,180 mm,Full Modular,80 PLUS PLATINUM Certified,100 - 240 V,47 - 63 Hz,13A-6.5A (100Va.c.-240Va.c.) 10A (200Va.c.-240Va.c.),1 x 12VHPWR (12+4) PCIe / 1 x 24 pin ATX / 2 x 8 pin (4+4) EPS (CPU) / 4 x 8 pin (6+2) PCIe / 8 x SATA,"7.09"" x 5.91"" x 3.39""",4.4 lbs,HXi Series ATX Power Supply | Power cord | DC Cables | Mounting screws | Cable ties,,,,,8,,,,,,,4 x 6+2-Pin,"1 x ATX CABLE 24-PIN (24): 610mm 2 x EPS/ATX12V CABLE 8-PIN (4+4): 650mm 2 x PCIe CABLE 8-PIN (6+2): 675mm, 100mm 1 x PCIe CABLE 16PIN (12+4): 650 mm 2 x SATA CABLE (4 SATA - Straight)): 455mm, 115mm, 115mm, 115mm 2 x PATA CABLE (4-PIN): 450mm, 100mm, 100mm 1 x USB(TYPE C) to 10-1PIN: 525 mm",,,,,,,,,
https://www.newegg.com/msi-intel-atx-12v-1000-w-80-plus-gold-certified-power-supply-black-mag-a1000gl-pcie5/p/N82E16817701026,178,PSU,#12 in Power Supplies,,,Intel ATX 12V,,,,,1 x 135 mm Fluid Dynamic Bearing,OCP / OVP / OPP / OTP / SCP / UVP,,,"March 22, 2024",,Black,"+5V@22A, +3.3V@22A, +12V@83.3A, -12V@0.3A, +5VSB@3A",,,,,,,MSI,,MAG A1000GL PCIE5,,1000 W,150 mm,Full Modular,80 PLUS GOLD Certified,100 - 240 V,50/60 Hz,15A (Max.),1 x ATX (24 PIN) 2 x EPS (4+4 PIN) 1x PCI-E 5.1 (16 PIN) 4 x PCI-E (6+2 PIN) 12 x SATA (15 PIN) 4 x MOLEX (4 PIN) 1 x Molex to FDD Adapter,"11.53 * 9.25 * 5.08""",7.54 lbs,,,,Active,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/asrock-atx3-1-pcie5-1-1000-w-cybenetics-titanium-power-supply-black-sl-1000g/p/N82E16817955008,159,PSU,,,,ATX3.1 & PCIe5.1,,,,,135mm Striped Axial FDB Fan,,,,"November 26, 2024",,Black,,,,,,,,ASRock,,SL-1000G,,1000 W,,Full Modular,Cybenetics Titanium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cybenetics A
https://www.newegg.com/athena-power-p2g-5650v-650w/p/N82E16817338074,479,PSU,,Athena Power,P2G-5650V,,Single,650W,,"+5V@25A, +12V@50A, +3.3V@25A, -12V@0.8A, +5VSB@3.5A",One 60 mm DC Fan,Over Power Protection Over Voltage Protection Short Circuit Protection,,"9.45"" x 3.94"" x 2.76""","May 17, 2011",,,,,"80~84% Typical at 115V, Full Load",,,,,,,,,,,,,90 - 264 V,47 - 63 Hz,,,,,,,,,,,16 ms Minimum at Full Load & Normal Input Voltage,,,0° C - 50° C,,Zippy,,,,,,,,,,,
