original_mean,bootstrap_mean,bootstrap_std
3.933333333333333,3.7,1.5524174696260022
3.933333333333333,3.8666666666666667,1.521694961401777
3.933333333333333,3.8333333333333335,1.6346933113652304
3.933333333333333,4.133333333333334,1.4772346537440226
3.933333333333333,3.7,1.46401275039985
3.933333333333333,4.066666666666666,1.364632632697248
3.933333333333333,3.8333333333333335,1.3682917167849198
3.933333333333333,3.566666666666667,1.5849991237291654
3.933333333333333,3.8,1.5999999999999999
3.933333333333333,3.533333333333333,1.6069294390925264
3.933333333333333,3.8666666666666667,1.521694961401777
3.933333333333333,3.6666666666666665,1.6193277068654823
3.933333333333333,4.333333333333333,1.2736648783028532
3.933333333333333,4.1,1.3253930234714029
3.933333333333333,3.6666666666666665,1.5986105077709065
3.933333333333333,3.6666666666666665,1.3984117975602022
3.933333333333333,3.8666666666666667,1.5434449203720302
3.933333333333333,3.533333333333333,1.6478942792411033
3.933333333333333,4.233333333333333,1.4761059883656353
3.933333333333333,3.933333333333333,1.4360439485692011
3.933333333333333,4.466666666666667,1.0873004286866728
3.933333333333333,4.166666666666667,1.2931443160847216
3.933333333333333,3.7,1.369914839202301
3.933333333333333,4.233333333333333,1.4302291968616625
3.933333333333333,3.566666666666667,1.54236470683457
3.933333333333333,4.066666666666666,1.4360439485692011
3.933333333333333,4.366666666666666,1.2775845264491201
3.933333333333333,3.7,1.5737428845483836
3.933333333333333,4.0,1.3662601021279464
3.933333333333333,3.933333333333333,1.4817407180595246
3.933333333333333,3.9,1.4224392195567912
3.933333333333333,3.7333333333333334,1.6110727964792761
3.933333333333333,3.8,1.5362291495737215
3.933333333333333,3.966666666666667,1.5380362660079103
3.933333333333333,4.333333333333333,1.2736648783028532
3.933333333333333,4.166666666666667,1.2405196043952265
3.933333333333333,4.033333333333333,1.4255603186895396
3.933333333333333,4.266666666666667,1.1234866364235143
3.933333333333333,4.266666666666667,1.2892719737209144
3.933333333333333,3.533333333333333,1.5434449203720302
3.933333333333333,3.533333333333333,1.5860503004493758
3.933333333333333,4.233333333333333,1.2827920936595907
3.933333333333333,3.7666666666666666,1.520599297060939
3.933333333333333,3.566666666666667,1.5849991237291654
3.933333333333333,4.166666666666667,1.3682917167849196
3.933333333333333,4.1,1.445683229480096
3.933333333333333,3.8,1.557776192739723
3.933333333333333,3.933333333333333,1.4590712418826193
3.933333333333333,4.066666666666666,1.4126413400278062
3.933333333333333,3.7666666666666666,1.6468825769380835
3.933333333333333,4.0,1.4375905768565218
