iteration,mean,ci_lower,ci_upper,ci_width
10,3.809090909090909,3.685583992378306,3.932597825803512,0.2470138334252061
20,3.874603174603174,3.755235233261293,3.9939711159450555,0.23873588268376267
30,3.903225806451613,3.808079109552897,3.998372503350329,0.1902933937974316
40,3.9178861788617882,3.833449972636159,4.0023223850874174,0.1688724124512584
50,3.922222222222222,3.8503161784135584,3.9941282660308857,0.14381208761732722
